dys_date,total_time,billable_time,pma_person_code,comment
2025-04-17,5,5,SIWE,"OPA-Rego-Rules getestet, optimiert und Benchmarks durchgeführt (E-Mail von Harald Wilkes vom 14.04.2025 zum Thema ""OPA Rules Kafka""); Filterung interner Kafka-Logs geprüft (Anfrage von Harald Wilkes im Synchronisationsmeeting vom 10.04.2025); Umstellung von Vector auf die Log Ingestion API in Azure Monitor geprüft (E-Mail von Kaya Kupferschmidt vom 11.04.2025 zum Thema ""Vector Issue & Branch für 'Log Ingestion API'""); Vorschlag zur Erweiterung des UserInfoFetchers um benutzerdefinierte Abfragen erstellt (opa-operator#702)"
2025-04-16,"2,75","2,75",SIWE,"OPA-Rego-Rules getestet, optimiert und Benchmarks durchgeführt (E-Mail von Harald Wilkes vom 14.04.2025 zum Thema ""OPA Rules Kafka"")"
2025-05-05,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-04-16,"0,75","0,75",SIWE,"OPA-Rego-Rules getestet, optimiert und Benchmarks durchgeführt (E-Mail von Harald Wilkes vom 14.04.2025 zum Thema ""OPA Rules Kafka"")"
2025-04-07,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-05-19,"0,5","0,5",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-06-13,"0,75","0,75",SIWE,"Meeting zur Einrichtung des Kafka-Mirror-Clusters (Einladung von Harald Wilkes zum Thema ""Setup Mirror Cluster"")"
2025-04-14,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-28,"4,5","4,5",SIWE,Cluster-Spezifikationen an SDP 25.3 angepasst; gleichzeitiger Zugriff auf Kafka per IP und DNS-Namen getestet; Verwendung von KRaft statt ZooKeeper getestet (Anfrage von Harald Wilkes im Synchronisationsmeeting vom 27.03.2025)
2025-04-03,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-31,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-03-27,"0,5","0,5",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-04-01,"0,25","0,25",SIWE,"Anpassung der Ressourcen für Vector-Container beschrieben (E-Mail von Harald Wilkes vom 01.04.2025 zum Thema ""Vector Memory"")"
2025-04-01,1,1,SIWE,Abfrage von Benutzerinformationen per sAMAccountName analysiert (Anfrage von Harald Wilkes im Synchronisationsmeeting vom 31.03.2025)
2025-04-24,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-05-08,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-05-22,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-04-10,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-06-06,"0,5","0,5",SIWE,"Frage zur Provisionierung von Kerberos-Tickets beantwortet (E-Mail von Ahmadreza Ibrahimzadeh vom 06.06.2025 zum Thema ""Re: OPA Rules Kafka"")"
2025-06-05,"0,25","0,25",SIWE,Synchronisationsmeeting zur Einrichtung von Kafka
2025-01-21,1,1,ANKE,Scripts set-up in Dev.
2025-01-21,"2,5","2,5",ANKE,Scripts set-up in dev.
2025-02-06,"0,5","0,5",ANKE,airplus daily
2025-01-23,"0,5","0,5",ANKE,Team daily
2025-01-21,1,1,ANKE,Scripts setup in dev.
2025-01-28,2,2,ANKE,Dev install meeting
2025-01-16,"0,5","0,5",ANKE,Daily - Airplus
